Linka číslo 802170		Uherské Hradiště-Babice-Otrokovice/Zlín																													
Platí od 7. 3. 2021 do 31. 12. 2021		opačný směr																													
Tč			Spoj 2	Spoj 4	Spoj 8	Spoj 6	Spoj 10	Spoj 12	Spoj 14	Spoj 16	Spoj 18	Spoj 20	Spoj 22	Spoj 40	Spoj 36	Spoj 24	Spoj 26	Spoj 28	Spoj 30	Spoj 38	Spoj 32	Spoj 34	km	km	km	km	km	km	km	km	km
			X	X	X	X 20	X	X	X	X	X	X 29	X	X	X	X	X 31	X 31	X 31	X 27	X 31	X 31									
37	Zlín,,aut.nádr.	odjezd			6:40				9:30	10:30	12:00		14:20		15:25	16:20	17:20	18:10	19:10	20:00						0		0			0
36	Zlín,,Nám.Práce				|				|	|	|		|		|	|	|	|	|	|						1		1			1
35	Zlín,,Zahradnická				6:44				9:34	10:34	12:04		14:24		15:29	16:24	17:23	18:13	19:14	20:03						2		2			2
34	Zlín,Louky,Růžová				<				<	<	<		<		<	<	<	<	<	<						<		<			<
33	Zlín,Louky,křiž.				6:48				9:38	10:38	12:07		14:29		15:33	16:28	17:27	18:16	19:18	20:06						4		4			4
32	Zlín,Malenovice,křiž.				6:53				9:42	10:42	12:10		14:33		15:37	16:33	17:31	18:21	19:23	20:10						6		6			6
31	Zlín,Malenovice,ZPS				|				9:44	10:44	12:13		14:37		15:40	16:36	17:34	18:24	19:25	20:12						8		8			8
30	Otrokovice,,aut.st.		5:30	6:05	<		7:15	8:30	<	<	<	14:10	<	14:30	<	<	<	<	<	<	22:10		0	0		<	0	<	0		<
29	Otrokovice,,teplárna		<	6:08	<		7:18	<	<	<	<	14:13	<	14:32	<	<	<	<	<	<	22:13		<	2		<	<	<	2		<
28	Otrokovice,,pneumatikárna		<	6:10	<		7:20	<	<	<	<	14:15	<	14:34	<	<	<	<	<	<	22:15		<	3		<	<	<	3		<
27	Otrokovice,,U Dřevnice		5:32	<	<		<	8:32	<	<	<	<	<	<	<	<	<	<	<	<	<		2	<		<	2	<	<		<
26	Otrokovice,,náměstí		5:34	<	<		<	8:34	<	<	<	<	<	<	<	<	<	<	<	<	<		3	<		<	3	<	<		<
25	Otrokovice,,poliklinika		|	<	<		<	|	<	<	<	<	<	<	<	<	<	<	<	<	<		3	<		<	3	<	<		<
24	Otrokovice,,žel.st.		<	<	<	6:42	<	8:36	<	<	<	<	<	<	<	<	<	<	<	20:17	<	22:35	<	<	0	<	4	<	<	0	11
23	Otrokovice,,Pošta		|	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	4	<	<	<	<	<	<	<	<
22	Otrokovice,Kvítkovice,Napajedelská		5:37	6:13	7:02	6:45	7:22	8:38	9:47	10:47	12:17	14:18	14:44	14:38	15:45	16:43	17:39	18:27	19:28	20:20	22:17	22:37	4	4	1	11	5	11	4	1	12
21	Napajedla,,průmyslová zóna		5:39	6:15	7:03	6:47	7:24	8:40	9:49	10:49	12:19	14:20	14:46	14:40	15:47	16:45	17:41	18:29	19:30	|	22:19	22:39	5	5	2	12	6	12	5	2	13
20	Napajedla,,dr.Beneše		5:41	6:17	7:05	6:49	7:26	8:42	9:51	10:51	12:21	14:22	14:48	|	15:49	16:47	17:43	18:31	19:32	20:23	22:21	22:41	6	6	3	13	7	13	6	3	14
19	Napajedla,,Chmelnice		5:42	6:19	7:08	6:51	7:27	8:44	9:52	10:52	12:22	14:23	14:49	14:42	15:50	16:48	17:44	18:32	19:33	20:24	22:22	22:42	7	7	4	14	8	14	7	4	15
18	Napajedla,,spořitelna		5:44	6:23	7:10	6:53	7:29	8:45	9:54	10:54	12:24	14:25	14:51	14:44	15:52	16:50	17:45	18:33	19:35	20:25	22:23	22:43	7	7	4	14	8	14	7	4	15
17	Napajedla,,aut.st.		5:45	6:25	7:12	6:55	7:31	8:47	9:56	10:56	12:26	14:27	14:53	14:46	15:54	16:52	17:47	18:35	19:37	20:27	22:25	22:45	8	8	5	15	9	15	8	5	16
16	Spytihněv		5:50	6:29	7:19	7:00	7:35	8:52	10:01	11:01	12:32	14:33	14:58	14:50	16:00	16:56	17:53	18:41	19:43	20:32	22:30	22:49	12	12	9	19	13	19	12	9	20
15	Babice,,ZD		5:53	6:32	7:22	7:03	7:37	8:55	10:04	11:04	12:34	14:35	15:00	14:52	16:02	16:58	17:55	18:43	19:45	20:36	22:32	22:51	14	14	11	21	15	21	14	11	22
14	Babice		5:55	6:33	7:23	|	7:38	8:57	10:06	11:06	12:36	14:39	15:02	14:54	16:04	17:00	17:57	18:45	19:47	20:37	22:34	22:52	15	15	12	22	16	22	15	12	23
13	Babice,,pošta			<	<	7:05	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	12	<	<	<	<	<	<
