Linka číslo 802192		Uherský Brod-Velký Ořechov-Zlín																																	
Platí od 7. 3. 2021 do 31. 12. 2021		opačný směr																																	
Tč			Spoj 2	Spoj 6	Spoj 4	Spoj 202	Spoj 212	Spoj 12	Spoj 204	Spoj 8	Spoj 14	Spoj 214	Spoj 16	Spoj 38	Spoj 206	Spoj 18	Spoj 120	Spoj 20	Spoj 216	Spoj 22	Spoj 24	Spoj 26	Spoj 208	Spoj 28	Spoj 30	Spoj 218	Spoj 32	Spoj 210	Spoj 34	Spoj 36	km	km	km	km	km
			X	X 27	X	6 +	+	X	6 +	X	X	6 +	X	X 20	6 +	X 20	X 10	X 20	6 +	X 27	X	X	6 + 24	X	X 31	6 + 24	X 31	6 + 25	X 31	X 31					
28	Zlín,,aut.nádr.	odjezd			5:15		6:35	8:15	8:25	9:15	10:30	10:30	12:15	12:45	12:45		13:25	13:25	14:00	14:05	14:25	15:20	16:00	16:15	17:20	18:10	18:30	20:10	20:10	22:25		0	0		0
27	Zlín,,Nám.Práce				|		|	|	|	|	|	|	|	|	|		|	|	|	|	|	|	|	|	|	|	|	|	|	|		1	1		1
26	Zlín,,U Majáku				5:21		6:42	8:22	8:32	9:22	10:37	10:37	12:21	12:52	12:52		13:32	13:32	14:07	14:13	14:32	15:27	16:07	16:21	17:26	18:17	18:37	20:17	20:16	22:31		4	4		4
25	Březnice,,paseky				|		|	|	|	|	|	|	|	|	|		|	|	|	|	|	|	|	|	|	|	|	|	|	|		5	5		5
24	Březnice,,křiž.				5:23		6:44	8:25	8:34	9:25	10:39	10:39	12:24	12:54	12:54		13:35	13:35	14:09	14:16	14:35	15:30	16:09	16:23	17:29	18:19	18:40	20:19	20:19	22:34		6	6		6
23	Březnice,,zast.				5:24		6:45	8:26	8:35	9:26	10:40	10:40	12:25	12:55	12:55		13:36	13:36	14:10	|	14:36	15:31	16:10	16:24	17:30	18:20	18:41	20:20	20:20	22:35		7	7		7
22	Bohuslavice u Zlína,,sokolovna				5:26		6:47	8:28	8:37	9:27	10:42	10:42	12:27	12:57	12:57		13:38	13:38	14:12	|	14:38	15:33	16:12	16:26	17:32	18:22	18:43	20:22	20:22	22:37		8	8		8
21	Bohuslavice u Zlína,,křiž.				5:27		6:48	8:29	8:38	9:28	10:43	10:43	12:28	12:58	12:58		13:39	13:39	14:13	14:20	14:39	15:35	16:13	16:28	17:34	18:23	18:44	20:23	20:23	22:38		9	9		9
20	Doubravy				5:32		6:53	8:34	8:43	9:33	10:48	10:48	12:33	13:03	13:03		13:44	13:44	14:18	14:25	14:45	15:40	16:18	16:33	17:39	18:28	18:49	20:28	20:29	22:44		13	13		13
19	Hřivínův Újezd				<		<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<		<
18	Velký Ořechov,,aut.st.		4:27	5:00	5:39	5:36	7:00	8:40	8:50	9:40	10:55	10:55	12:44	13:10	13:10	13:24	13:50	13:50	14:25	14:33	14:51	15:46	16:25	16:40	17:45	18:35	18:55	20:35	20:35	22:50	0	17	17	0	17
17	Velký Ořechov,,rest.		<	<	<	<	<	<	<	<	<	<	<	13:11	<	<	<	<	<	<	14:52	<	<	<	<	<	<	<	<	<	<	<	<	<	17
16	Kelníky		<	<	<	<	<	<	<	<	<	<	<	13:16	<	<	<	<	<	<	14:56	<	<	<	<	<	<	<	<	<	<	<	<	<	20
15	Velký Ořechov,,rest.		<	<	<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	15:00	<	<	<	<	<	<	<	<	<	<	<	<	<	23
14	Dobrkovice,,rozc.1.0		<	<	<	<	<	|	|	<	|	<	|		<	|	<	<	|	<	|	|	|	16:42	17:47	<	|	<	|	22:52	<	<	18	1	24
13	Dobrkovice,,horní konec		<	<	<	<	<	8:43	8:53	<	10:58	<	12:47		<	13:27	<	<	14:28	<	15:04	15:49	16:28	16:43	17:48	<	18:58	<	20:38	22:53	<	<	19	2	25
12	Dobrkovice,,náves		<	<	<	<	<	8:45	8:55	<	11:00	<	12:49		<	13:29	<	<	14:30	<	15:06	15:51	16:30	16:45	17:50	<	19:00	<	20:39	22:54	<	<	19	2	25
11	Dobrkovice,,horní konec		<	<	<	<	<	|	|	<	|	<	|		<		<	<	|	<	|	|	|	|	|	<	|	<	|	|	<	<	19		25
10	Dobrkovice,,rozc.1.0		4:29	5:02	5:41	5:38	7:02	|	|	9:42	|	10:57	|		13:12		13:52	13:52	|	14:35	|	15:53	|	|	|	18:37	|	20:37	|	|	1	18	20		26
9	Částkov,,rozc.3.0		4:31	5:04	5:43	5:40	7:04	8:49	8:59	9:44	11:04	10:59	12:54		13:14		13:54	13:54	14:34	|	15:09	15:55	16:34	|	17:55	18:39	19:04	20:39	|	|	3	20	22		28
8	Pašovice,,Obecní úřad		4:33	5:06	5:45	5:42	7:06	8:51	9:01	9:46	11:06	11:01	12:57		13:16		13:56	13:56	14:36	14:38	15:10	15:57	16:36	16:52	17:57	18:41	19:06	20:41	20:45	22:59	4	21	23		29
7	Prakšice,,škola		4:37	5:08	5:48	5:44	7:08	8:54	9:03	9:48	11:08	11:03	12:59		13:18		13:58	13:58	14:38	14:40	15:13	16:00	16:38	16:54	18:00	18:43	19:08	20:43	20:48	23:01	6	23	25		31
6	Prakšice,,Obecní úřad		4:39	5:10	5:50	5:45	7:09	8:55	9:04	9:49	11:09	11:04	13:01		13:19		13:59	13:59	14:39	14:41	15:15	16:01	16:39	16:55	18:01	18:44	19:09	20:44	20:49	23:02	6	23	25		31
5	Uherský Brod,Maršov,rozc.6.0		4:42	5:13	5:53	5:48	7:13	8:58	9:07	9:52	11:13	11:08	13:05		13:23		14:02	14:02	14:43	14:46	15:18	16:04	16:43	16:58	18:04	18:48	19:12	20:47	20:52	23:05	10	27	29		35
