Linka číslo 802366		Uherské Hradiště-Boršice-Buchlovice/Osvětimany																																								
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																								
Tč			Spoj 2	Spoj 4	Spoj 6	Spoj 202	Spoj 10	Spoj 14	Spoj 12	Spoj 16	Spoj 18	Spoj 220	Spoj 20	Spoj 22	Spoj 206	Spoj 24	Spoj 26	Spoj 208	Spoj 28	Spoj 210	Spoj 30	Spoj 32	Spoj 34	Spoj 212	Spoj 36	Spoj 38	Spoj 214	Spoj 318	Spoj 218	Spoj 40	Spoj 42	km	km	km	km	km	km	km	km	km	km	km
			X 27	X	X	6 +	X	X 29	X 19	X	X 20	6 +	X 20	X	6 +	X 29	X	6 +	X	6 +	X	X	X 29	6 +	X 31	X 31	6 + 24	6 + 71	6 + 77	X 31	X 31											
26	Osvětimany	odjezd	3:43	4:10	4:45	4:47	5:20	6:00		6:52	7:05	7:08		7:45	8:50	9:10	10:45	10:45	12:35	12:45	13:05	14:08	15:07	15:10	15:44	17:10	17:10			18:07	20:40	0	0	0		0	0	0	0	0		
25	Osvětimany,,škola		3:44	4:11	4:47	4:49	5:21	6:01		6:53	7:06	7:09		7:46	8:51	9:11	10:46	10:46	12:36	12:47	13:07	14:09	15:09	15:11	15:46	17:11	17:12			18:08	20:41	0	0	0		0	0	0	0	0		
24	Medlovice		<	4:14	4:49	4:51	5:24	6:04		<	<	7:12		<	8:54	9:14	10:49	10:49	12:39	12:49	13:10	<	<	<	<	17:14	17:14			<	<	<	2	2		2	<	2	2	<		
23	Újezdec		<	<	<	<	<	<		<	<	<		<	<	<	10:52	10:52	12:42	<	13:12	<	<	<	<	<	<			<	<	<	<	<		<	<	4	4	<		
22	Hostějov		<	<	<	<	<	<		<	<	<		<	<	<	10:54	10:54	12:45	<	13:14	<	<	<	<	<	<			<	<	<	<	<		<	<	6	6	<		
21	Újezdec		<	4:17	4:52	4:54	5:27	6:07		<	<	7:15		<	8:57	9:17	10:56	10:56	12:47	12:52	13:16	<	<	<	<	17:17	17:17			<	<	<	4	4		4	<	8	8	<		
20	Medlovice		3:47	4:20	4:55	4:57	5:30	6:11		6:56	7:09	7:18		7:49	9:00	9:20	10:59	10:59	12:50	12:55	13:19	14:12	15:13	15:14	15:48	17:20	17:20			18:11	20:44	2	6	6		6	2	10	10	2		
19	Stříbrnice		3:51	4:24	4:59	5:01	5:34	6:15		7:02	7:13	7:22		7:53	9:04	9:24	11:03	11:03	12:54	12:59	13:23	14:16	15:17	15:18	15:52	17:24	17:24			18:15	20:48	5	9	9		9	5	13	13	5		
18	Boršice,,Nová čtvrť		3:54	4:29	5:02	5:05	5:37	6:19		7:04		7:25		7:56	9:07	9:27	11:06	11:06	12:57	13:03	13:26	14:19	15:20	15:21	15:55	17:27	17:28			18:18	20:51	9	13	13		13	9	17	17	9		
