Linka číslo 802374		Kunovice-Uherské Hradiště-Jalubí																																								
Platí od 1. 1. 2021 do 31. 12. 2021																																										
Tč			Spoj 1	Spoj 43	Spoj 3	Spoj 53	Spoj 7	Spoj 9	Spoj 5	Spoj 201	Spoj 11	Spoj 13	Spoj 211	Spoj 15	Spoj 41	Spoj 17	Spoj 203	Spoj 51	Spoj 19	Spoj 21	Spoj 49	Spoj 23	Spoj 55	Spoj 27	Spoj 25	Spoj 29	Spoj 39	Spoj 31	Spoj 205	Spoj 45	Spoj 33	Spoj 35	Spoj 209	Spoj 37	Spoj 47	km	km	km	km	km	km	km
			X	X	X 29	X	X	X 20	X 29	6 +	X	X	6 34	X	X	X	6 +	X 20	X	X 20	X	X	X	X	X 29	X	X 27	X	6 +	X	X 31	X 31	6 + 24	X 31	X 31							
1	Kunovice,,Let	odjezd	5:35	6:10		6:47			7:27										13:27		14:20		14:40	14:45			15:45			16:45					22:20	0			0			0
2	Kunovice,,Na Bělince		5:37	6:12		6:49			7:29										13:29		14:22		14:42	14:47			15:47			16:47					22:22	2			2			2
3	Kunovice,,Panská		5:38	6:13		6:50			7:30										13:30		14:23		14:43	14:48			15:48			16:48					22:23	3			3			3
4	Kunovice,,Na Rynku		5:40	6:14		6:51			7:33										13:32		14:25		14:45	14:52			15:50			16:50					22:24	3			3			3
5	Kunovice,,rozc.k žel.st.0.5		5:43	6:16		6:53			7:35										|		14:28		14:48	14:56			15:53			16:53					22:26	4			4			4
6	Uherské Hradiště,,garáže ČSAD		5:45	6:18		6:55			7:37										13:35		14:30		14:50	15:00			15:55			16:55					22:28	5			5			5
7	Uherské Hradiště,,B.Němcové		<	<		<			<										<		<		<	<			<			<					<	<			<			<
8	Uherské Hradiště,,Smetanovy sady		5:46	6:19		6:56			7:39										13:37		14:31		14:51	15:02			15:56			16:56					22:30	6			6			6
9	Uherské Hradiště,,aut.nádr.		5:50	6:23	6:30	6:58	6:55	7:05	7:42	7:30	7:35	9:00	9:25	10:05	11:00	12:05	12:10	13:05	13:43		14:34	14:25	14:55	15:10	14:50	15:30	16:00	16:25	16:25	17:00	17:10	18:15	19:05		22:35	7	0	0	7			7
10	Staré Město,,hřbitov		5:53		6:33		6:58	7:08		7:34	7:39	|	|	10:09	11:04	12:09	|	13:09	|			|		15:14	|	|		16:28	|		17:14	|	|		|	9	2	2	9			9
11	Staré Město,,nám.Velké Moravy		<		6:34		6:59	7:09		<	7:41	<	<	10:10	11:05	12:11	<	13:11	13:47			<		15:15	<	<		16:30	<		17:16	<	<		22:37	<	2	<	9			9
12	Staré Město,,Velehradská		<		6:36		7:01	7:10		<	7:43	<	<	10:11	11:06	12:13	<	13:13	13:50			<		15:16	<	<		16:32	<		17:18	<	<		22:38	<	3	<	10			10
13	Staré Město,,nadjezd Velehradská		<		6:37		7:03	7:11		<	7:44	<	<	10:13	11:08	12:15	<	13:15	13:52			<		15:18	<	<		16:33	<		17:20	<	<		22:40	<	4	<	11			11
14	Staré Město,,nadjezd Tovární		<		<		<	<		<	<	<	<	<	<	<	<	<	<			<		<	<	<		<	<		<	<	<		|	<	<	<	<			11
15	Staré Město,,Tovární		<		<		<	<		<	<	<	<	<	<	<	<	<	<			<		<	<	<		<	<		<	<	<		22:42	<	<	<	<			12
16	Staré Město,,Lidový dům		5:54		<		<	<		7:35	<	9:04	9:29	<	<	<	12:14	<	<			14:30		<	14:54	15:34		<	16:28		<	18:18	19:08		<	9	<	2	<			<
17	Staré Město,,sokolovna		5:55		<		<	<		7:36	<	9:05	9:30	<	<	<	12:15	<	<			|		<	|	15:35		<	16:29		<	18:19	19:09		<	9	<	2	<			<
