Linka číslo 802375		Uherské Hradiště-Velehrad-Salaš																													
Platí od 12. 4. 2021 do 30. 6. 2021		opačný směr																							výlukový jízdní řád						
Tč			Spoj 2	Spoj 202	Spoj 4	Spoj 6	Spoj 10	Spoj 204	Spoj 8	Spoj 12	Spoj 214	Spoj 16	Spoj 18	Spoj 206	Spoj 20	Spoj 208	Spoj 28	Spoj 30	Spoj 34	Spoj 210	Spoj 36	Spoj 38	Spoj 212	Spoj 40	Spoj 42	km	km	km	km	km	km
			X	6 +	X	X	X	6 +	X	X	6 +	X	X	6 +	X	6 +	X	X	X	6 +	X	X	6 +	X	X						
26	Salaš,,točna	odjezd	4:37	5:06	5:20	5:56	7:03	7:05		8:05	9:00	9:00	11:00	11:00	12:50	12:50	14:25		15:35	15:55	16:30	18:05	18:05	18:50	20:40	0	0		0	0	
25	Salaš,,Obecní úřad		4:39	5:08	5:22	5:58	7:06	7:08		8:08	9:02	9:02	11:02	11:02	12:51	12:51	14:26		15:36	15:56	16:31	18:07	18:07	18:53	20:43	1	1		1	1	
24	Salaš,,hřiště		4:41	5:09	5:23	5:59	7:08	7:09		8:09	9:03	9:03	11:03	11:03	12:52	12:52	14:27		15:37	15:57	16:32	18:08	18:08	18:54	20:44	1	1		1	1	
23	Salaš,,dolina		4:43	5:10	5:25	6:00	7:10	7:10		8:10	9:05	9:05	11:05	11:05	12:53	12:53	14:29		15:38	15:58	16:34	18:10	18:10	18:55	20:45	2	2		2	2	
22	Salaš,,střelnice		|	|	|	6:01	7:11	7:11		8:11	9:06	9:06	11:06	11:06	12:55	12:54	14:30		15:40	16:00	16:35	18:12	18:12	18:56	20:47	3	3		3	3	
21	Velehrad,,polesí		|	|	5:28	|	7:14	7:14		8:14	|	|	|	|	|	|	|		|	|	|	18:14	18:14	18:59	|	5	5		5	5	
20	Velehrad,,hor.konec		4:48	5:15	5:30	6:04	7:16	7:16		8:16	9:11	9:11	11:11	11:11	12:59	12:58	14:33		15:43	16:03	|	18:15	18:15	19:01	20:51	6	6		6	6	
19	Velehrad,,náměstí		4:52	5:16	5:32	6:07	7:19	7:17	7:15	8:17	9:13	9:13	11:13	11:13	13:01	13:00	14:40	15:33	15:52	16:06	16:40	18:17	18:17	19:02	20:54	6	6	0	6	6	0
18	Velehrad,,U rybníků		4:53	5:17	5:33	6:08	7:21	7:18	7:16	8:18	9:14	9:14	11:14	11:14	13:02	13:01	14:41	15:34	15:53	16:07	16:42	18:19	18:19	19:03	20:55	7	7	1	7	7	1
