Linka číslo 802956		Uherské Hradiště-Uherský Ostroh-Veselí nad Moravou																						
Platí od 1. 1. 2021 do 31. 12. 2021																								
Tč			Spoj 1	Spoj 3	Spoj 5	Spoj 7	Spoj 9	Spoj 11	Spoj 13	Spoj 15	Spoj 17	Spoj 19	Spoj 21	Spoj 23	Spoj 27	Spoj 25	Spoj 29	Spoj 31	Spoj 33	Spoj 35	Spoj 37	km	km	km
			X	X	X 29	X	X	X	X	X	X	X	X	X 29	X	X	X	X	X 31	X 31	X 31			
1	Uherské Hradiště,,aut.nádr.	odjezd	5:00	5:20	6:00	6:30	7:30	8:30	9:30	11:25	12:40	13:40	14:25	14:35	15:20	15:50	16:15	17:20	18:10	20:40	22:10	0	0	0
2	Uherské Hradiště,,garáže ČSAD		|	5:23	6:03	6:33	7:34	8:33	9:34	11:28	12:44	13:43	14:28	14:38	15:23	15:53	16:18	17:23	18:13	20:43	22:12	2	2	2
3	Kunovice,,rozc.k žel.st.0.5		|	5:25	6:04	6:35	7:36	8:35	9:36	11:29	12:46	13:45	14:30	14:40	15:25	15:55	16:19	17:25	18:14	20:44	22:13	3	3	3
4	Kunovice,,Na Rynku		5:05	5:27	6:05	6:37	7:39	8:37	9:39	11:30	12:48	13:47	14:33	14:43	15:27	15:57	16:21	17:27	18:16	20:45	22:14	4	4	4
5	Kunovice,,škola		|	5:29	6:07	6:38	7:40	8:39	9:40	11:32	12:50	13:49	14:35	14:45	15:29	15:59	16:23	17:29	18:18	20:47	22:16	5	5	5
6	Kunovice,,Novoveská		|	5:31	6:09	6:39	7:42	8:40	9:42	11:34	12:52	13:51	14:37	14:47	15:31	16:01	16:25	17:30	18:20	20:49	22:17	6	6	6
7	Ostrožská Nová Ves,,Novoveské lázně		|	5:33	6:12	6:41	7:44	8:42	9:44	11:37	12:55	13:53	14:39	14:49	15:33	16:03	16:28	17:32	18:23	20:52	22:19	8	8	8
8	Ostrožská Nová Ves,Kopanice		|	5:35	6:14	6:42	7:46	8:44	9:46	11:39	12:57	13:55	14:41	14:51	15:35	16:05	16:30	17:33	18:25	20:54	22:21	9	9	9
9	Ostrožská Nová Ves,,křiž.		5:11	5:37	6:15	6:44	7:48	8:46	9:48	11:40	12:58	13:57	14:45	14:55	15:37	16:07	16:31	17:35	18:26	20:55	22:23	9	9	9
10	Ostrožská Lhota,,Jednota		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
11	Ostrožská Lhota,,Obecní úřad		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
12	Ostrožská Nová Ves,,Lhotská		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
13	Ostrožská Nová Ves,Chylice		5:13	5:39	6:17	6:46	7:50	8:48	9:50	11:42	13:00	13:59	14:47	14:57	15:39	16:09	16:33	17:37	18:28	20:57	22:25	10	10	10
14	Uherský Ostroh,Kvačice		5:15	5:41	6:19	6:48	7:52	8:50	9:52	11:44	13:02	14:01	14:49	14:59	15:41	16:11	16:35	17:39	18:30	20:59	22:27	11	11	11
15	Uherský Ostroh,,rest.Osmek		5:16	5:43	6:20	6:50	7:54	8:52	9:54	11:45	13:04	14:03	14:51	15:01	15:43	16:13	16:37	17:41	18:32	21:00	22:29	12	12	12
16	Uherský Ostroh,,most		<	5:44	6:22	6:52	7:56	8:54	9:56	11:47	13:06	14:04	14:53	15:03	15:45	16:15	16:39	17:42	18:34	21:02	22:30	<	13	13
17	Uherský Ostroh,,náměstí		<	5:45	6:24	6:54	7:57	8:55	9:57	11:49	13:08	14:05	14:54	15:04	15:47	16:17	16:40	17:44	18:35	21:04	22:32	<	13	13
18	Uherský Ostroh,,točna		<	<	6:25	<	<	<	<		<	<	<		<		<	<	<	<	<	<	<	14
19	Uherský Ostroh,,most		<	|		|	|	|	|		|	|	|		|		|	|	|	|	|	<	13	
20	Uherský Ostroh,,Dyas		5:17	5:47		6:56	7:59	8:58	9:59		13:10	14:07	14:56		15:49		16:43	17:46	18:38	21:07	22:33	13	14	
21	Uherský Ostroh,,závod ČD		5:19	5:49		6:58	8:00	9:00	10:00		13:12	14:09	14:58		15:51		16:45	17:48	18:40	21:09	22:35	14	15	
22	Veselí n.Mor.,Milokošť			5:51		7:00	8:01	9:01	10:01		13:14	14:11	15:00		15:53		16:47	17:50	18:42	21:10	22:37		16	
23	Veselí n.Mor.,Břestek			5:53		7:02	8:03	9:02	10:03		13:16	14:13	15:02		15:55		16:49	17:52	18:44	21:11	22:38		17	
24	Veselí n.Mor.,Chaloupky			5:55		7:04	8:05	9:03	10:05		13:18	14:15	15:04		15:57		16:51	17:54	18:46	21:12	22:39		18	
25	Veselí n.Mor.,,žel.st.	příjezd		5:57		7:07	8:07	9:05	10:07		13:20	14:18	15:07		16:00		16:52	17:57	18:47	21:14	22:41		19	
																								
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																								
