Linka číslo 802366		Uherské Hradiště-Boršice-Buchlovice/Osvětimany																																				
Platí od 1. 1. 2021 do 31. 12. 2021																																						
Tč			Spoj 1	Spoj 3	Spoj 5	Spoj 7	Spoj 215	Spoj 9	Spoj 11	Spoj 13	Spoj 203	Spoj 15	Spoj 205	Spoj 17	Spoj 19	Spoj 207	Spoj 21	Spoj 23	Spoj 209	Spoj 25	Spoj 29	Spoj 27	Spoj 31	Spoj 211	Spoj 33	Spoj 35	Spoj 37	Spoj 213	Spoj 39	Spoj 41	km	km	km	km	km	km	km	km
			X 18	X 29	X	X	6 +	X 20	X 20	X	6 +	X 29	6 +	X	X	6 +	X	X 29	6 +	X 29	X 19	X 29	X	6 +	X	X 31	X 31	6 + 24	X 31	X 31								
1	Uherské Hradiště,,aut.nádr.	odjezd		5:25	5:55	6:15	6:30	6:40		7:40	8:10	9:05	10:10	10:25	12:05	12:05	13:30	14:25	14:25	14:40	14:50	14:50	15:35	16:25	16:25	17:25	18:25	19:05	19:25	22:40		0	0	0		0	0	0
2	Staré Město,,hřbitov			|	|	|	|	|		|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|		2	2	2		2	2	2
3	Staré Město,,Lidový dům			5:30	5:59	6:19	6:34	6:44		7:44	8:14	9:09	10:14	10:29	12:09	12:09	13:34	14:31	14:28	14:44	14:54	14:54	15:40	16:30	16:30	17:30	18:29	19:08	19:29	22:43		2	2	2		2	2	2
4	Staré Město,,sokolovna			5:32	6:00	|	6:35	|		7:45	8:15	9:10	10:15	10:30	12:10	12:10	13:35	14:32	14:29	|	14:55	14:55	15:41	16:31	16:31	17:31	18:30	19:09	19:30	22:44		2	2	2		2	2	2
5	Staré Město,,Finská čtvrť			5:33	6:01	6:20	6:36	|		7:46	8:16	9:11	10:16	10:31	12:11	12:11	13:37	14:33	14:30	|	14:56	14:56	15:42	16:32	16:32	17:32	18:31	19:10	19:31	22:45		3	3	3		3	3	3
6	Staré Město,,rozc.k žel.st.0.4			5:34	6:02	|	|	6:47		7:47	8:17	|	10:17	|	|	12:12	13:38	|	|	|	14:57	14:57	15:43	16:33	16:33	17:33	18:32	19:11	19:32	22:46		4	4	4		4	4	4
7	Staré Město,,žel.st.		4:56	<	6:04	6:23	6:38	<		7:48	8:18	9:13	10:20	10:33	12:13	12:15	<	14:35	14:32	<	15:00	15:00	15:45	16:35	16:35	17:35	18:35	19:15	19:35	22:48	0	<	4	4		4	<	4
8	Staré Město,,Zlechovská		|	|	|	|	6:40	|		|	|	|	|	|	12:15	12:17	|	14:37	14:34	14:49	15:02	|	|	16:37	|	|	18:37	19:17	19:36	22:50	1	5	5	5		5	5	5
9	Zlechov,Olší		|	|	|	|	6:42	|		7:52	8:22	9:17	10:24	10:37	12:17	12:19	|	14:39	14:36	<	15:04	<	|	16:39	16:39	|	18:39	19:19	|	|	3	7	7	7		7	<	<
10	Zlechov,,křiž.		4:59	5:38	6:09	6:28	6:43	6:51		7:53	8:23	9:18	10:25	10:39	12:18	12:20	13:43	14:40	14:37	<	15:05	<	15:50	16:40	16:40	17:40	18:40	19:20	19:40	22:53	3	7	7	7		7	<	<
11	Boršice,,rozc.2.0		|	|	6:11	6:30	6:45	|		7:55	8:25	9:20	10:27	10:41	|	12:22	|	|	14:39	<	|	<	|	16:42	16:42	|	18:42	19:22	19:42	|	5	9	9	9		9	<	<
12	Boršice,Trávníky		|	|	6:13	6:32	6:47	|		7:57	8:27	9:22	10:29	10:43	12:24	12:24	13:47	14:44	14:41	14:55	15:09	15:07	15:55	16:44	16:44	17:44	18:44	19:24	19:44	22:57	7	11	11	11		11	11	11
13	Boršice,,Obecní úřad		5:04	5:42	6:14	6:33	6:48	6:56		7:58	8:28	9:23	10:30	10:44	12:25	12:25	13:48	14:45	14:42	14:56	15:10	15:08	15:56	16:45	16:45	17:45	18:45	19:25	19:45	22:58	7	11	11	11		11	11	11
14	Boršice,Trávníky		<	<	<	<	<			<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<	<
15	Buchlovice,,Lúčky		<	<	<	<	<			<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<	<
16	Buchlovice,,náměstí		<	<	<	<	<			<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<	<
17	Buchlovice,,Smraďavka		<	<	<	<	<			<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<	<
18	Boršice,,Nová čtvrť		|	5:44	6:16	6:35	6:50			8:00	8:30	9:25	10:31	10:46	12:27	12:27	13:50	14:47	14:44	14:57	15:12	15:10	15:58	16:47	16:47	17:46	18:47	19:27	19:46	23:00	7	11	11	11		11	11	11
