Linka číslo 802170		Uherské Hradiště-Babice-Otrokovice/Zlín																																
Platí od 7. 3. 2021 do 31. 12. 2021																																		
Tč			Spoj 1	Spoj 41	Spoj 3	Spoj 5	Spoj 7	Spoj 9	Spoj 11	Spoj 35	Spoj 13	Spoj 201	Spoj 15	Spoj 17	Spoj 19	Spoj 43	Spoj 21	Spoj 23	Spoj 523	Spoj 25	Spoj 27	Spoj 29	Spoj 37	Spoj 33	Spoj 31	km	km	km	km	km	km	km	km	km
			X	X	X	X 20	X	X 29	X	X	X	6 34	X 17	X 27	X	X	X 29	X	X 29	X	X	X 31	X 27	X 31	X 31									
1	Uherské Hradiště,,aut.nádr.	odjezd	4:45		5:10	6:05	6:20	6:45	7:35	8:20	10:10	10:40	11:30	12:00	12:45		13:15	14:15	14:15	15:15	16:20	17:20	18:15	21:00	21:40	0	0	0	0	0	0	0		0
2	Staré Město,,hřbitov		4:47		5:14	6:08	6:23	6:49	7:38	8:23	10:13	10:43	11:34	12:04	12:48		13:18	14:18	|	15:18	16:23	17:23	18:18	21:03	|	2	2	2	2	2	2	2		2
3	Staré Město,,nám.Velké Moravy		<		5:15	6:09	6:24	6:50	7:39	8:24	10:14	10:44	11:35	12:05	12:49		<	14:19	14:18	15:19	16:24	17:24	18:19	<	<	<	2	2	2	<	<	<		2
4	Staré Město,,Huštěnovská		<		5:16	6:10	6:25	6:51	7:40	8:25	10:15	10:45	11:36	12:06	12:50		<	14:20	|	15:20	16:25	17:25	18:20	<	<	<	3	3	3	<	<	<		3
5	Staré Město,,Lidový dům		4:48		<	<	<	<	<	<	<	<	<	<	<		13:19	<	<	<	<	<	<	21:04	21:43	2	<	<	<	2	2	2		<
6	Staré Město,,Finská čtvrť		4:49		<	<	<	<	<	<	<	<	<	<	<		13:21	<	<	<	<	<	<	21:06	21:45	3	<	<	<	3	3	3		<
7	Staré Město,,rozc.k žel.st.0.4		<		<	<	<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	|	21:46	<	<	<	<	<	4	4		<
8	Staré Město,,žel.st.		<		<	<	<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	21:10	21:48	<	<	<	<	<	4	4		<
9	Staré Město,,rozc.k žel.st.0.4		<		<	<	<	<	<	<	<	<	<	<	<		<	<	<	<	<	<	<	|	21:49	<	<	<	<	<	4	4		<
10	Staré Město,,Tovární		4:50		<	<	<	<	<	<	<	<	<	<	<		13:23	<	<	<	<	<	<	21:12	21:50	4	<	<	<	4	6	6		<
11	Huštěnovice		4:55	4:54	5:20	6:14	6:30	6:56	7:45	8:30	10:19	10:48	11:40	12:10	12:54	12:48	13:28	14:25	14:22	15:25	16:30	17:30	18:25	21:17	21:55	8	6	6	6	8	10	10	0	6
12	Babice,Cerony		|	4:56	5:22	6:16	|	6:58	7:47	8:32	10:21	10:50	11:42	12:12	12:57	12:51	13:31	14:27	|	15:27	16:32	17:32	18:27	21:19	21:57	10	8	8	8	10	12	12	2	8
13	Babice,,pošta		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
14	Babice		4:58	4:58	5:23	6:17	6:33	6:59	7:48	8:33	10:22	10:51	11:43	12:13	12:58	12:53	13:32	14:28	14:25	15:28	16:33	17:33	18:28	21:20	21:58	10	8	8	8	10	12	12	2	8
15	Babice,,ZD		|	4:59	|	6:19	6:35	|	|	|	|	|	|	|	13:00	12:54	|	|	|	|	|	|	|	|	|	11	9	9	9	11	13	13	3	9
16	Spytihněv		5:01	5:01	5:28	6:22	6:38	7:04	7:52	8:37	10:27	10:55	11:47	12:17	13:03	12:57	13:37	14:32	|	15:32	16:37	17:37	18:32	21:23	22:01	13	11	11	11	13	15	15	5	11
