Linka číslo 802180		Uherské Hradiště-Březolupy-Zlín																																					
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																					
Tč			Spoj 2	Spoj 104	Spoj 4	Spoj 6	Spoj 8	Spoj 10	Spoj 12	Spoj 212	Spoj 14	Spoj 202	Spoj 16	Spoj 18	Spoj 214	Spoj 216	Spoj 20	Spoj 22	Spoj 24	Spoj 26	Spoj 28	Spoj 206	Spoj 30	Spoj 34	Spoj 36	Spoj 38	Spoj 218	Spoj 40	Spoj 42	Spoj 208	Spoj 44	Spoj 46	Spoj 210	Spoj 50	Spoj 48	km	km	km	km
			X 27	X 17	X 27	X	X	X 27	X 20	6 +	X 27	6 +	X	X	6 34	+	X	X 29	X	X	X 29	6 +	X	X	X 27	X	6 +	X	X 31	6 + 24	X 31	X 31	6 + 24	X 27	X 31				
35	Zlín,,aut.nádr.	odjezd	5:15	5:30	5:30	6:05	6:25	6:45	7:00	7:35	8:05	8:45	9:30	11:00	11:05	12:25	12:30	13:00	13:30	14:10	14:20	14:20	14:35	15:10	15:45	16:10	16:15	16:50	17:20	18:15	19:00	19:55	20:00	21:00	22:20	0	0	0	0
34	Zlín,,Nám.Práce		|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	1	1	1	1
33	Zlín,,U Majáku		5:21	5:36	5:36	6:11	6:31	6:52	7:05	7:40	8:12	8:50	9:35	11:05	11:10	12:30	12:35	|	13:36	14:15	|	14:25	|	15:15	15:51	16:18	16:20	16:56	17:27	18:20	19:06	20:00	20:05	21:05	22:25	4	4	4	4
32	Březnice,,paseky		|	|	|	|	|	|	7:07	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	5	5	5	5
31	Březnice,,rozc.		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:26	<	<	<	6
30	Březnice,,střed		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:28	<	<	<	7
29	Březnice,,točna		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:29	<	<	<	8
28	Březnice,,střed		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:31	<	<	<	9
27	Březnice,,rozc.		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:32	<	<	<	10
