Linka číslo 802374		Kunovice-Uherské Hradiště-Jalubí																																											
Platí od 7. 3. 2021 do 31. 12. 2021		opačný směr																																											
Tč			Spoj 2	Spoj 6	Spoj 4	Spoj 50	Spoj 202	Spoj 8	Spoj 58	Spoj 10	Spoj 12	Spoj 14	Spoj 16	Spoj 18	Spoj 204	Spoj 20	Spoj 48	Spoj 210	Spoj 62	Spoj 66	Spoj 22	Spoj 60	Spoj 52	Spoj 24	Spoj 206	Spoj 26	Spoj 54	Spoj 28	Spoj 30	Spoj 32	Spoj 36	Spoj 40	Spoj 208	Spoj 42	Spoj 64	Spoj 44	Spoj 46	Spoj 56	km	km	km	km	km	km	km
			X 29	X 19	X 29	X	6 +	X	X 29	X 29	X 19	X 29	X	X 20	6 +	X	X	6 34	X	X	X	X	X	X	6 +	X 20	X	X	X 20	X	X	X 31	6 + 24	X 31	X	X 31	X 31	X 31							
28	Jalubí	odjezd	4:30	4:55	5:00		5:18	5:30		6:10	6:10	6:50	7:20	7:22	7:55	8:05	9:30	9:55		10:30	11:25			12:55	13:05	13:35		14:03	14:50	15:20	15:50	16:45	17:35	17:35		18:45	20:55		0	0	0	0			
27	Jalubí,,u pošty		4:31	4:57	5:01		5:19	5:31		6:11	6:11	6:51	7:21	7:24	7:56	8:06	9:31	9:56		10:31	11:26			12:56	13:06	13:36		14:04	14:51	15:21	15:51	16:46	17:36	17:36		18:46	20:56		1	1	1	1			
26	Jalubí,,dol.konec		4:32	4:59	5:03		5:20	5:32		6:12	6:12	6:52	7:23	7:26	7:57	8:08	9:33	9:57		10:33	11:28			12:58	13:07	13:37		14:06	14:52	15:22	15:52	16:48	17:38	17:38		18:47	20:57		1	1	1	1			
25	Staré Město,,Jalubská		4:35	5:01	5:06		5:23	5:36		6:15	6:14	6:55	7:26	|	7:59	8:11	9:36	9:59		10:36	11:31			13:01	13:09	13:40		14:08	14:54	15:25	15:54	16:51	17:40	17:40		18:50	21:00		3	3	3	3			
24	Staré Město,,nadjezd Tovární		4:37	5:02	<		5:27	5:38		<	6:15	<	<	|	8:00	8:12	9:37	10:00		10:37	<			<	<	13:42		<	<	15:27	<	16:52	17:41	17:41		18:51	21:02		<	4	4	4			
23	Staré Město,,Tovární		|	5:04	<		5:29	5:39		<	6:16	<	<	|	8:01	8:14	9:39	10:01		10:39	<			<	<	13:43		<	<	15:28	<	16:54	17:43	17:43		18:52	21:03		<	5	5	5			
22	Staré Město,,Bratří Mrštíků		<	<	<		<	<		<	<	<	<	7:34	<	<	<	<		<	<			<	<	<		<	<	<	<	<	<	<		<	<		<	<	6	<			
21	Staré Město,,rozc.k žel.st.0.4		4:39	|	<		5:31	5:41		<	6:18	<	<	7:36	8:03	8:16	9:41	10:03		10:41	<			<	<	13:45		<	<	|	<	|	17:44	17:44		18:54	21:04		<	7	7	7			
20	Staré Město,,žel.st.		4:40	5:07	<		5:38	5:42		<	6:20	<	<	7:38	8:04	8:17	9:42	10:04	10:05	10:42	<	12:05		<	<	13:46		<	<	15:35	<	16:57	17:47	17:47	18:10	18:55	21:05	21:27	<	7	7	7		0	0
