Linka číslo 802956		Uherské Hradiště-Uherský Ostroh-Veselí nad Moravou																									
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																									
Tč			Spoj 2	Spoj 4	Spoj 6	Spoj 8	Spoj 10	Spoj 12	Spoj 14	Spoj 16	Spoj 18	Spoj 20	Spoj 22	Spoj 24	Spoj 26	Spoj 28	Spoj 30	Spoj 32	Spoj 34	Spoj 36	Spoj 38	km	km	km	km	km	km
			X	X 29	X	X	X	X 29	X	X	X	X	X	X	X	X 29	X	X	X 31	X 31	X 31						
25	Veselí n.Mor.,,žel.st.	odjezd	4:35			5:40	6:30		7:15	8:30	9:20	10:30		13:30	14:25		15:25	16:25	17:25	20:00	22:12	0				0	0
24	Veselí n.Mor.,Chaloupky		4:36			5:42	6:32		7:17	8:32	9:22	10:31		13:32	14:27		15:27	16:27	17:27	20:02	22:14	1				1	1
23	Veselí n.Mor.,Břestek		4:38			5:44	6:34		7:18	8:34	9:24	10:34		13:34	14:29		15:29	16:29	17:29	20:04	22:15	2				2	2
22	Veselí n.Mor.,Milokošť		4:39			5:46	6:36		7:20	8:36	9:25	10:35		13:36	14:31		15:31	16:31	17:31	20:06	22:16	3				3	3
21	Uherský Ostroh,,závod ČD		4:41		5:20	5:48	6:37		7:21	8:37	9:26	10:38		13:37	14:33		15:33	16:33	17:33	20:07	22:17	4		0		4	4
20	Uherský Ostroh,,Dyas		4:42		5:21	5:49	6:38		7:22	8:38	9:28	10:40		13:38	14:34		15:34	16:34	17:34	20:08	22:20	5		1		5	5
19	Uherský Ostroh,,most		|		|	|	|		|	|	|	|		|	|		|	|	|	|	<	6		2		6	<
18	Uherský Ostroh,,točna		<		<	<	<	6:53	7:26	<	<	<		<	<		<	<	<	<	<	<		<	0	7	<
17	Uherský Ostroh,,náměstí		4:44	4:58	5:25	5:51	6:40	6:55	7:27	8:42	9:32	10:44	11:55	13:40	14:36	15:05	15:36	16:36	17:36	20:10	<	6	0	2	1	8	<
16	Uherský Ostroh,,most		4:45	5:00	5:26	5:53	6:43	6:56	7:28	8:44	9:34	10:45	11:56	13:41	14:37	15:06	15:37	16:37	17:37	20:12	<	6	0	2	1	8	<
15	Uherský Ostroh,,rest.Osmek		4:47	5:02	5:29	5:55	6:45	6:59	7:32	8:47	9:36	10:47	11:58	13:43	14:39	15:08	15:39	16:39	17:39	20:14	22:23	7	1	3	2	9	6
14	Uherský Ostroh,Kvačice		4:49	5:04	5:31	5:57	6:47	7:01	7:33	8:49	9:37	10:49	12:00	13:45	14:41	15:10	15:41	16:41	17:41	20:16	22:24	8	2	4	3	10	7
13	Ostrožská Nová Ves,Chylice		4:51	5:06	5:33	5:59	6:49	7:03	7:36	8:51	9:40	10:51	12:02	13:47	14:43	15:12	15:43	16:43	17:43	20:18	22:26	9	3	5	4	11	8
12	Ostrožská Nová Ves,,Lhotská		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:28	<	<	<	<	<	9
11	Ostrožská Lhota,,Obecní úřad		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:33	<	<	<	<	<	14
10	Ostrožská Lhota,,Jednota		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	22:46	<	<	<	<	<	14
9	Ostrožská Nová Ves,,křiž.		4:53	5:08	5:35	6:01	6:51	7:05	7:39	8:53	9:42	10:52	12:04	13:49	14:45	15:14	15:45	16:45	17:45	20:20	22:51	10	4	6	5	12	19
8	Ostrožská Nová Ves,Kopanice		4:54	5:10	5:36	6:03	6:53	7:07	7:40	8:54	9:43	10:53	12:06	13:51	14:47	15:15	15:46	16:47	17:47	20:21	22:53	10	4	6	5	12	19
7	Ostrožská Nová Ves,,Novoveské lázně		4:56	5:12	5:38	6:05	6:55	7:09	7:41	8:55	9:44	10:55	12:08	13:53	14:49	15:17	15:48	16:49	17:49	20:23	22:55	11	5	7	6	13	20
6	Kunovice,,Novoveská		4:59	5:14	5:40	6:08	6:58	7:11	7:44	8:59	9:47	10:59	12:10	13:55	14:51	15:19	15:51	16:51	17:51	20:25	22:57	13	7	9	8	15	22
5	Kunovice,,škola		5:00	5:16	5:43	6:09	7:00	7:13	7:46	9:01	9:48	11:01	12:12	13:56	14:52	15:20	15:52	16:52	17:52	20:27	22:58	14	8	10	9	16	23
4	Kunovice,,Na Rynku		5:02	5:18	5:45	6:11	7:04	7:15	7:48	9:02	9:50	11:03	12:14	14:00	14:54	15:22	15:54	16:54	17:54	20:29	23:00	15	9	11	10	17	24
3	Kunovice,,rozc.k žel.st.0.5		5:03	5:20	5:46	6:13	7:08	7:17	7:50	9:04	9:52	11:05	12:16	14:04	14:56	15:24	15:56	16:56	17:56	20:31	23:02	16	10	12	11	18	25
2	Uherské Hradiště,,garáže ČSAD		5:05	5:22	5:48	6:15	7:11	7:19	7:52	9:07	9:54	11:07	12:18	14:06	14:58	15:26	15:58	16:58	17:58	20:32	23:04	17	11	13	12	19	26
1	Uherské Hradiště,,aut.nádr.	příjezd	5:08	5:26	5:52	6:18	7:15	7:25	7:56	9:11	10:00	11:11	12:22	14:10	15:02	15:29	16:02	17:02	18:02	20:35	23:06	19	13	15	14	21	28
																											
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																											
