Linka číslo 802180		Uherské Hradiště-Březolupy-Zlín																																		
Platí od 1. 1. 2021 do 31. 12. 2021																																				
Tč			Spoj 1	Spoj 205	Spoj 3	Spoj 5	Spoj 7	Spoj 201	Spoj 9	Spoj 11	Spoj 71	Spoj 171	Spoj 13	Spoj 17	Spoj 203	Spoj 19	Spoj 207	Spoj 21	Spoj 23	Spoj 211	Spoj 27	Spoj 29	Spoj 31	Spoj 217	Spoj 35	Spoj 37	Spoj 39	Spoj 209	Spoj 41	Spoj 43	Spoj 213	Spoj 33	Spoj 45	km	km	km
			X	6 +	X	X 27	X	6 +	X 29	X 27	X 20	X 10	X 20	X	6 +	X	+	X	X	6 + 24	X 29	X 19	X	+	X	X	X 31	6 + 24	X 31	X 31	6 + 24	X 27	X 31			
1	Uherské Hradiště,,aut.nádr.	odjezd		5:00	5:15	5:45	6:05	6:10	6:15	6:25	7:00	7:00	7:35	8:30	9:05	10:30	11:20	11:30	12:40	13:15	13:30	13:30	14:15	14:35	14:45	15:50	16:25	16:30	18:10	19:00	19:10	20:00			0	0
2	Uherské Hradiště,Mařatice,Mesit			5:03	5:18	5:49	6:08	6:13	6:18	6:29	7:03	7:03	7:39	8:34	9:08	10:34	11:22	11:34	12:43	13:18	13:33	13:33	14:19	14:37	14:49	15:54	16:28	16:33	18:13	19:04	19:13	20:04			2	2
3	Uherské Hradiště,Mařatice,Jaktáře			5:04	5:19	5:50	6:10	6:14	6:19	6:30	7:06	7:04	7:40	8:35	9:09	10:35	11:23	11:35	12:44	13:19	13:34	13:34	14:20	14:38	14:50	15:55	16:29	16:34	18:14	19:05	19:14	20:05			3	3
4	Uherské Hradiště,Jarošov,U Bagru			5:05	5:21	5:52	6:11	6:15	6:20	6:32	7:08	7:06	7:42	8:37	9:10	10:37	11:24	11:37	12:46	13:20	13:35	13:35	14:22	14:39	14:52	15:57	16:31	16:35	18:16	19:06	19:15	20:06			3	3
5	Uherské Hradiště,Jarošov,pivovar			5:07	5:22	5:53	6:12	6:17	6:22	6:35	7:09	7:07	7:45	8:38	9:12	10:38	11:25	11:38	12:47	13:22	13:36	13:36	14:23	14:40	14:53	15:58	16:32	16:37	18:18	19:08	19:16	20:08			4	4
6	Uherské Hradiště,Jarošov,Blaně			|	5:23	5:54	6:13	|	|	6:36	7:10	7:08	7:46	|	|	10:39	11:26	11:39	12:48	|	|	|	14:24	14:41	14:54	15:59	16:34	|	18:19	|	|	|			5	5
7	Kněžpole,,vodárna			5:09	5:24	5:55	6:14	6:19	|	|	7:12	7:09	|	|	9:14	10:40	11:27	11:40	12:49	13:24	13:39	13:39	14:25	14:42	14:55	16:00	|	16:39	|	19:10	19:18	20:10			6	6
8	Kněžpole			5:10	5:25	5:56	6:15	6:20	<	6:38	7:15	7:10	7:48	8:42	9:15	10:41	11:28	<	<	13:25	<	13:40	14:26	14:43	14:56	16:01	16:36	16:40	18:21	19:11	19:20	20:11			7	<
9	Mistřice,,rozc.1.0			5:11	5:26	5:57	6:16	6:21	6:25	6:40	7:16	7:11	7:50	8:43	9:16	10:43	11:29	11:42	12:51	13:26	13:41	13:41	14:28	14:44	14:57	16:02	16:37	16:41	18:23	19:12	19:21	20:12			8	7
10	Bílovice,Včelary			5:12	5:27	5:58	6:17	6:22	6:27	6:42	7:17	7:12	7:52	8:44	9:17	10:44	11:30	11:43	12:52	13:27	|	|	14:29	14:45	14:58	16:03	16:38	16:42	18:24	19:13	19:22	20:13			8	7
11	Bílovice,,st.č.1			5:15	5:33	6:05	6:20	6:25	6:28	6:46	7:20	7:15	7:56	8:47	9:20	10:47	11:32	11:45	12:55	13:30	13:43	13:44	14:31	14:47	15:04	16:07	16:40	16:45	18:26	19:16	19:25	20:16			9	8
12	Bílovice,,točna			<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<			<	<
13	Bílovice,,st.č.2		4:35	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	21:00	0	<	<
14	Bílovice,,mm-cité		4:37	5:16	5:34	6:06	6:22	6:26	6:30	6:48	7:21	7:16	7:58	8:48	9:21	10:48	11:33	11:47	12:57	13:31	13:45	13:46	14:33	14:48	15:05	16:08	16:43	16:46	18:28	19:18	19:27	20:18	21:02	1	10	9
15	Březolupy,,Zápolí		4:40	5:19	5:36	6:10	6:24	6:29	6:32	6:51	7:24	7:18	8:01	8:52	9:24	10:52	11:35	11:50	12:59	13:34	13:47	13:48	14:35	14:50	15:09	16:12	16:46	16:49	18:30	19:20	19:29	20:20	21:04	3	12	11
