Linka číslo 802192		Uherský Brod-Velký Ořechov-Zlín																													
Platí od 7. 3. 2021 do 31. 12. 2021																															
Tč			Spoj 1	Spoj 211	Spoj 5	Spoj 9	Spoj 201	Spoj 11	Spoj 15	Spoj 17	Spoj 213	Spoj 19	Spoj 203	Spoj 25	Spoj 21	Spoj 215	Spoj 23	Spoj 27	Spoj 29	Spoj 31	Spoj 205	Spoj 33	Spoj 217	Spoj 35	Spoj 37	Spoj 207	Spoj 39	Spoj 41	km	km	km
			X	6 +	X	X	6 +	X	X 20	X	6 +	X	6 +	X	X	+	X 20	X	X 20	X	6 + 24	X 31	6 + 24	X 31	X 31	6 + 25	X 31	X 31			
1	Uherský Brod,,dopravní terminál	odjezd	4:00	5:10	5:15	6:10	6:32	6:35	7:35	8:00	8:25	10:25	11:15	11:25	12:23	12:35		14:10	14:35	14:53	15:05	15:38	17:05	17:18	18:44	19:10	19:50	22:30	0	0	
2	Uherský Brod,,sokolovna		4:01	5:11	5:17	6:11	6:33	6:37	7:36	8:01	8:26	10:27	11:16	11:27	12:24	12:37		14:12	14:37	14:54	15:06	15:40	17:06	17:19	18:45	19:11	19:52	22:31	1	1	
3	Uherský Brod,,Mariánské náměstí		4:03	5:12	5:19	6:12	6:34	6:38	7:37	8:02	8:27	10:28	11:17	11:28	12:26	12:39		14:14	14:39	14:55	15:07	15:42	17:07	17:21	18:46	19:12	19:53	22:32	1	1	
4	Uherský Brod,,Prakšická		4:05	5:14	5:20	6:14	6:36	6:40	7:39	8:04	8:29	10:30	11:19	11:30	12:27	12:40		14:17	14:41	14:57	15:09	15:44	17:09	17:23	18:47	19:14	19:55	22:33	2	2	
5	Uherský Brod,Maršov,rozc.6.0		4:06	5:16	5:22	6:16	6:38	6:42	7:41	8:06	8:31	10:31	11:21	11:31	12:29	12:42		14:19	14:42	14:59	15:11	15:46	17:11	17:24	18:49	19:16	19:57	22:35	3	3	
6	Prakšice,,Obecní úřad		4:12	5:20	5:26	6:20	6:42	6:46	7:48	8:12	8:35	10:36	11:25	11:35	12:34	12:46		14:22	14:46	15:05	15:15	15:51	17:15	17:29	18:52	19:20	20:00	22:40	7	7	
7	Prakšice,,škola		4:14	5:21	5:27	6:21	6:43	6:47	7:50	8:13	8:37	10:38	11:27	11:36	12:35	12:47		14:24	14:47	15:06	15:16	15:52	17:17	17:30	18:53	19:21	20:01	22:41	7	7	
8	Pašovice,,Obecní úřad		4:17	5:24	5:30	6:25	6:46	6:50	7:53	8:16	8:40	10:41	11:30	11:38	12:38	12:50		14:27	14:49	15:08	15:18	15:55	17:20	17:33	18:56	19:23	20:03	22:43	9	9	
9	Částkov,,rozc.3.0		4:18	5:26	|	6:27	6:48	6:52	7:55	8:18	8:42	10:43	11:32	11:40	12:40	12:52		14:29		15:10	15:20	15:57	17:22	17:35	18:58	19:25	20:05	22:45	10	10	
