Linka číslo 802365		Uherské Hradiště-Tučapy-Ořechov																																																						
Platí od 13. 6. 2021 do 31. 12. 2021																																																								
Tč			Spoj 5	Spoj 7	Spoj 201	Spoj 109	Spoj 9	Spoj 11	Spoj 13	Spoj 1	Spoj 3	Spoj 15	Spoj 203	Spoj 17	Spoj 57	Spoj 211	Spoj 19	Spoj 21	Spoj 205	Spoj 23	Spoj 25	Spoj 27	Spoj 29	Spoj 213	Spoj 31	Spoj 33	Spoj 35	Spoj 37	Spoj 41	Spoj 43	Spoj 45	Spoj 207	Spoj 47	Spoj 49	Spoj 51	Spoj 209	Spoj 53	Spoj 59	Spoj 55	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km
			X	X	6 +	X 12	X 20	X 20	X 20	X 20	X 20	X	6 +	X	X	6 +	X	X	6 +	X 27	X 20	X 20	X 20	6 +	X 20	X	X 29	X	X 20	X	X 20	6 +	X	X 31	X 27	6 + 24	X 31	X 27	X 31																	
1	Uherské Hradiště,,aut.nádr.	odjezd	5:45	6:20	6:25	6:30	6:30	6:42	6:55		7:08	7:30	8:25	8:45		10:25	10:30	12:00	12:15	12:55	12:55	13:45	13:52	14:20	14:20	14:30	14:40	14:55	15:15	15:30	16:15	16:15	16:30	17:30	18:30	19:05	19:15	20:50	22:40	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
2	Staré Město,,hřbitov		|	|	|	|	|	|	|		|	|	|	|		|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2
3	Staré Město,,Lidový dům		5:49	6:24	6:29	6:34	6:34	6:45	6:58		|	7:34	8:29	8:48		10:29	10:34	12:04	12:19	12:58	12:58	13:49	13:56	14:24	14:25	14:34	14:44	14:59	15:19	15:34	16:19	16:19	16:34	17:34	18:34	19:09	19:19	20:54	22:43	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2
4	Staré Město,,sokolovna		5:50	|	6:30	|	|	|	6:59		|	7:35	8:30	8:49		10:30	10:35	12:05	12:20	12:59	|	13:50	13:57	14:25	|	14:35	|	15:00	15:20	15:35	16:20	16:20	16:35	17:35	18:35	19:10	19:20	20:55	22:44	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2
5	Staré Město,,Bratří Mrštíků		<	<	<	<	<	<	<		<	<	<	<		<	<	<	<	<	<	13:51	14:00	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	3	3	<	<	<		<	<	<
6	Staré Město,,Finská čtvrť		5:51	6:25	6:31	|	|	|	7:00		|	7:36	8:31	8:50		10:31	10:36	12:06	12:21	13:00	13:00	<	<	14:26	|	14:36	|	15:01	15:22	15:36	16:21	16:21	16:36	17:36	18:36	19:11	19:21	20:56	22:45	3	3	3	3	3	3	3	3	<	<	3	3	3		3	3	3
7	Staré Město,,rozc.k žel.st.0.4		5:53	6:27	6:32	6:37	6:37	6:48	7:01		|	7:37	8:32	8:51		10:32	10:37	12:08	12:22	13:02	13:02	13:53	14:02	14:27	14:30	14:37	14:48	15:03	15:24	15:37	16:23	16:22	16:37	17:37	18:37	19:12	19:23	20:57	22:46	4	4	4	4	4	4	4	4	4	4	4	4	4		4	4	4
8	Staré Město,,žel.st.		<	<	<	<	<	<	<		<	7:40	8:35	8:54		10:35	10:40	<	12:25	<	<	<	<	14:30	<	14:41	<	<	<	15:40	<	<	16:40	17:40	18:40	19:15	<	21:00	22:48	<	<	<	4	4	4	<	<	<	<	<	<	4		<	<	4
9	Kostelany n.Mor.,,rozc.0.5		|	6:31	6:36	6:41	6:41	6:52	|		|	|	8:39	|		10:39	|	|	|	13:06	|	|	|	14:34	14:34	|	|	|	|	|	16:27	|	|	|	|	|	|	|	|	7	7	7	7	7	7	7	7	7	7	7	7	7		7	7	7
10	Kostelany n.Mor.		5:58	<	<	<	<	<	7:06		7:19	7:45	<	8:59		<	10:45	12:13	12:30	<	13:07	13:58	<	<	<	14:46	14:53	15:08	15:29	15:45	<	16:27	16:45	17:45	18:45	19:20	19:28	21:05	22:53	8	<	<	8	8	8	8	<	8	<	8	<	8		<	<	<
11	Nedakonice,,ZD		6:01	6:33	|	6:43	6:43	6:54				7:48	8:41	9:02		10:41	10:48	12:16	12:33	13:08			14:08	14:36	|	14:49	|	|	15:32	15:48	|	|	16:48	17:48	18:48	19:23	19:31	21:08	22:56	11	9	9	11	11	11	11	9		9	11	9	11		9	9	9
