Linka číslo 802365		Uherské Hradiště-Tučapy-Ořechov																																																								
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																																								
Tč			Spoj 2	Spoj 6	Spoj 202	Spoj 8	Spoj 4	Spoj 14	Spoj 118	Spoj 22	Spoj 18	Spoj 204	Spoj 16	Spoj 20	Spoj 120	Spoj 24	Spoj 208	Spoj 58	Spoj 26	Spoj 212	Spoj 28	Spoj 30	Spoj 130	Spoj 206	Spoj 34	Spoj 36	Spoj 136	Spoj 38	Spoj 40	Spoj 42	Spoj 214	Spoj 44	Spoj 46	Spoj 48	Spoj 56	Spoj 210	Spoj 50	Spoj 52	Spoj 54	Spoj 60	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km
			X	X	6 +	X	X	X	X 10	X 20	X 20	6 +	X 20	X 20	X 20	X	6 +	X	X	6 +	X	X 20	X 10	6 +	X 20	X 20	X 12	X 20	X 20	X 20	6 +	X	X	X 20	X 20	6 + 24	X 31	X 31	X 31	X 27																		
27	Ořechov	odjezd	4:10	4:40	5:03	5:18		6:17	6:50		7:00	7:00				8:15	9:03	9:17	9:45	11:03	11:10	12:50	12:50	12:50		13:40	13:40		14:25		14:58	15:15	15:35			16:54	17:10	18:12	20:15	21:50	0		0	0		0			0	0	0	0				0		0
26	Ořechov,,hřbitov		4:11	4:41	5:04	5:19		6:18	6:51		7:01	7:01				8:16	9:04	9:18	9:46	11:04	11:11	12:51	12:51	12:51		13:41	13:41		14:26		14:59	15:16	15:36			16:55	17:11	18:13	20:16	21:51	1		1	1		1			1	1	1	1				1		1
25	Vážany		4:13	4:43	5:06	5:21		6:20	6:53		<	<				<	<	9:19	<	<	<	<	<	12:52		<	<		<		<	<	<			<	<	<	<	<	2		2	2		<			<	<	<	<				2		<
24	Boršice,,Obecní úřad		<	<	<	<		<	<	6:56	<	<				<	<	<	<	<	<	<	<	<		<	<		<		<	<	<			<	<	<	<	<	<		<	<		<		0	<	<	<	<				<		<
23	Tučapy		4:17	4:47	5:09	5:25		6:24	6:57	7:01	<	<				<	<	9:23	<	<	<	<	<	12:56		<	<		<		<	<	<			<	<	<	<	<	5		5	5		<		3	<	<	<	<				5		<
22	Boršice,,Obecní úřad		<	<	<	<		<	<	<	<	<				<	<	9:27	<	<	<	<	<	<		<	<		<		<	<	<			<	<	<	<	<	<		<	<		<		<	<	<	<	<				8		<
21	Vážany		4:21	4:51	5:13	5:29		6:28	7:01	7:05	7:02	7:02				8:18	9:05		9:47	11:05	11:12	12:52	12:52	13:00		13:43	13:43		14:27		15:00	15:17	15:37			16:56	17:12	18:14	20:17	21:52	8		8	8		2		6	2	2	2	2						2
20	Polešovice,,u Marka		4:23	4:53	5:15	5:31		6:30	7:03	7:08	7:04	7:04				8:20	9:07		9:49	11:07	11:14	12:54	12:54	13:02		13:45	13:45		|		15:02	15:19	15:39			16:58	17:14	18:16	20:19	21:54	9		9	9		3		7	3	3	3	3						3
19	Polešovice,,Městečko		4:25	4:55	5:17	5:33	6:05	6:32	7:05	<	7:06	7:06	7:08			8:22	9:09		9:51	11:09	11:16	12:55	12:55	13:04		13:47	13:47		<	14:50	15:04	15:22	15:41			17:00	17:16	18:18	20:21	21:56	10	0	10	10	0	4		<	4	4	4	<	0					4
18	Polešovice,,škola		<	<	<	<	<	<	<	7:10	<	<	<			<	<		<	<	<	<	<	<		<	<		14:30	<	<	<	<			<	<	<	<	<	<	<	<	<	<	<		8	<	<	<	4	<					<
